"","label","latitude","longitude"
"1180","ATITR",47.47,12.05
"1181","ATITT",47.45,12.13
"1182","ATIZG",48.13,15.9
"1183","ATJDB",47.15,14.67
"1184","ATJDD",47.12,15.35
"1185","ATJDF",46.93,16
"1186","ATJEG",48.05,13.13
"1187","ATJEN",47.38,11.77
"1188","ATJGE",46.85,15.73
"1189","ATJOA",47.35,13.2
"1190","ATJOC",48.38,15.45
"1191","ATJOH",47.52,12.42
"1192","ATJOS",47.97,16.8
"1193","ATJPS",48.78,15.57
"1194","ATJSS",46.83,15.5
"1195","ATJZS",47.15,10.73
"1196","ATK2R",48.25,15.57
"1197","ATK8B",47.83,16.5
"1198","ATKAB",47.28,11.87
"1199","ATKAD",46.98,15.77
"1200","ATKAF",46.92,15.83
"1201","ATKAL",48.28,13.72
"1202","ATKAM",47.4,14.9
"1203","ATKAN",48.42,15.62
"1204","ATKAP",47.27,12.77
"1205","ATKAR",46.83,13.47
"1206","ATKAT",46.9,138.4
"1207","ATKAW",48.42,15.93
"1208","ATKBA",47.95,157.53
"1209","ATKBF",47.6,16.4
"1210","ATKBW",48.43,15.9
"1211","ATKBZ",46.88,13.3
"1212","ATKCH",46.77,15.97
"1213","ATKDO",48.62,16.23
"1214","ATKDT",48.75,16.02
"1215","ATKEU",46.67,13
"1216","ATKFD",47.2,14.82
"1217","ATKFH",47.05,15.07
"1218","ATKFM",48.43,14.53
"1219","ATKFT",47.57,12.45
"1220","ATKGA",48.2,13.95
"1221","ATKGI",48.43,13.65
"1222","ATKHH",47.97,13.9
"1223","ATKHO",48.7,13.88
"1224","ATKHS",48.45,16.62
"1225","ATKIF",48.45,15.98
"1226","ATKII",48.2,13.38
"1227","ATKIN",47.5,15.45
"1228","ATKIR",48.72,15.08
"1229","ATKIT",47.45,12.38
"1230","ATKKM",47.9,14.12
"1231","ATKL4",48.6,13.83
"1232","ATKLA",47.32,9.65
"1233","ATKLG",47.47,15.13
"1234","ATKLH",48.77,15.25
"1235","ATKLU",46.62,14.3
"1236","ATKLZ",48.4,14.27
"1237","ATKMB",48.22,15.17
"1238","ATKME",47.23,16.15
"1239","ATKMK",48.1,14.18
"1240","ATKMN",46.92,13.57
"1241","ATKMR",47.17,15.53
"1242","ATKN8",47.25,14.88
"1243","ATKNR",47.93,16.22
"1244","ATKNS",48.08,16.6
"1245","ATKOB",47.32,9.6
"1246","ATKOE",47.95,13.18
"1247","ATKOG",47.32,15.68
"1248","ATKOH",47.17,16.35
"1249","ATKOL",47.28,11.63
"1250","ATKOP",47.8,13.17
"1251","ATKOS",47.67,12.4
"1252","ATKOT",48.42,15.3
"1253","ATKPL",47.05,10.37
"1254","ATKPO",48.22,15.22
"1255","ATKRE",47.03,15.18
"1256","ATKRI",47.53,15.55
"1257","ATKRL",47.52,12.08
"1258","ATKRM",48.02,14.5
"1259","ATKRO",46.97,16.18
"1260","ATKRS",47.45,11.87
"1261","ATKRZ",48.33,16.3
"1262","ATKSE",48.08,17.07
"1263","ATKSP",46.83,14.53
"1264","ATKSS",46.77,15.43
"1265","ATKST",48.13,14.45
"1266","ATKTE",48.18,15.82
"1267","ATKTF",47.45,15.33
"1268","ATKTN",48.3,16.13
"1269","ATKTP",46.55,14.03
"1270","ATKTT",47.25,11.27
"1271","ATKTU",48.3,16.32
"1272","ATKUB",47.52,16.18
"1273","ATKUC",47.62,13.13
"1274","ATKUD",46.62,14.63
"1275","ATKUN",47.47,11.98
"1276","ATKZL",47.98,15.75
"1277","ATLAA",48.72,16.38
"1278","ATLAB",48.32,13.52
"1279","ATLAG",48.47,15.67
"1280","ATLAM",46.98,16.05
"1281","ATLAN",47.13,10.55
"1282","ATLAS",47.73,14.88
"1283","ATLAU",47.27,144.9
"1284","ATLBD",47.92,16.22
"1285","ATLBE",48.23,15.27
"1286","ATLBU",47.9,16.17
"1287","ATLCH",48.02,13.18
"1288","ATLCK",47.58,16.47
"1289","ATLDG",48.27,14.23
"1290","ATLDO",48.53,16.48
"1291","ATLDS",48.48,16.75
"1292","ATLEB",46.85,15.53
"1293","ATLEI",46.78,15.53
"1294","ATLEN",47.28,13.03
"1295","ATLEO",48.37,16.3
"1296","ATLFT",48.13,15.28
"1297","ATLGE",48.33,16.12
"1298","ATLGN",48.47,15.6
"1299","ATLGR",48.3,16
"1300","ATLGU",48,13.22
"1301","ATLGW",47.57,15.62
"1302","ATLIB",46.97,15.33
"1303","ATLIW",48.5,15.38
"1304","ATLKI",47.97,13.82
"1305","ATLKN",48.72,13.58
"1306","ATLL6",47.22,15.37
"1307","ATLLF",48.02,15.63
"1308","ATLLG",48.37,15.68
"1309","ATLMU",47.48,15.37
"1310","ATLNH",46.93,15.33
"1311","ATLNT",46.78,12.83
"1312","ATLNZ",48.3,14.3
"1313","ATLOB",48.13,13.4
"1314","ATLOE",48.43,15.42
"1315","ATLOF",47.58,12.68
"1316","ATLOI",48.17,16.83
"1317","ATLOS",47.92,14.43
"1318","ATLP4",47.93,16.48
"1319","ATLPB",47.72,19.12
"1320","ATLPD",48.13,15.35
"1321","ATLPO",48.12,16.4
"1322","ATLPS",47.98,12.95
"1323","ATLRR",46.83,13.48
"1324","ATLSD",48.2,15.4
"1325","ATLSH",48.93,15.05
"1326","ATLSN",48.25,14.47
"1327","ATLTD",48.12,14.95
"1328","ATLTF",47.55,12.1
"1329","ATLTG",48.78,15.32
"1330","ATLTH",47.37,11.15
"1331","ATLTS",46.67,15.47
"1332","ATLTX",48.03,15.77
"1333","ATLTZ",47.47,16.63
"1334","ATLUA",48.48,13.88
"1335","ATLUW",47.1,15.67
"1336","ATLWN",46.9,14.28
"1337","ATLXE",48.07,16.35
"1338","ATLZD",48.3,16.35
"1339","ATLZF",48.1,16.43
"1340","ATMA5",47.4,12.9
"1341","ATMAB",48.22,15.15
"1342","ATMAI",48.28,13.22
"1343","ATMAK",47.85,14.13
"1344","ATMAL",47.97,16.6
"1345","ATMAM",48.03,16.6
"1346","ATMAN",48.08,13.67
"1347","ATMAR",48.02,15.58
"1348","ATMAS",46.67,14.33
"1349","ATMAT",47.73,16.38
"1350","ATMAU",48.23,14.52
"1351","ATMBG",47.28,14.48
"1352","ATMBH",48.25,16.17
"1353","ATMBK",46.83,13.37
"1354","ATMBR",47.13,11.45
"1355","ATMBS",47.75,16.67
"1356","ATMCD",47.87,14.13
"1357","ATMCF",46.62,13.4
"1358","ATMDF",48.37,16
"1359","ATMDG",48.07,13.18
"1360","ATMDO",47.37,16.22
"1361","ATMDR",47.35,9.62
"1362","ATMDS",47.37,15
"1363","ATMEE",48.22,13.43
"1364","ATMEI",46.83,14.4
"1365","ATMEM",47.3,10.98
"1366","ATMEN",48.1,16.28
"1367","ATMER",48.18,14.1
"1368","ATMGL",48.27,16.63
"1369","ATMGN",48.18,13.8
"1370","ATMHE",48.27,15.13
"1371","ATMHF",47.88,16.95
"1372","ATMIC",48.08,15.75
"1373","ATMIL",47.28,11.52
"1374","ATMIS",48.23,14.07
"1375","ATMIX",47.32,15.35
"1376","ATMKA",47.23,16.08
"1377","ATMKC",48.18,14.7
"1378","ATMLA",47.35,9.87
"1379","ATMLB",48.67,16.18
"1380","ATMLD",48.02,16.3
"1381","ATMLH",48.83,15.8
"1382","ATMLJ",48.3,15.33
"1383","ATMLL",48.52,15.68
"1384","ATMLN",48.28,15.93
"1385","ATMLS",47.27,12.47
"1386","ATMML",47.53,15.52
"1387","ATMMZ",47.47,15.37
"1388","ATMNG",47.4,13.57
"1389","ATMNN",48.38,16.83
"1390","ATMNO",47.85,16.47
"1391","ATMOE",48.07,16.28
"1392","ATMOF",47.48,15.38
"1393","ATMON",47.85,13.35
"1394","ATMOO",48.17,16.45
"1395","ATMPI",47.87,16.13
"1396","ATMR2",46.55,14.28
"1397","ATMRC",48.18,14.12
"1398","ATMRH",47.17,11.87
"1399","ATMRZ",47.72,16.42
"1400","ATMSB",46.8,15.7
"1401","ATMSD",47.03,15.48
"1402","ATMSF",48.47,16.63
"1403","ATMSN",47.37,12.8
"1404","ATMSS",48.68,15.8
"1405","ATMST",46.8,13.57
"1406","ATMTB",47.4,13.22
"1407","ATMTF",47.13,13.67
"1408","ATMTI",48.28,13.43
"1409","ATMTK",47.4,14.83
"1410","ATMTN",48.38,15.58
"1411","ATMTS",47.97,13.1
"1412","ATMTZ",48.4,16.7
"1413","ATMUC",46.7,15.77
"1414","ATMUD",48.38,15.57
"1415","ATMUE",48.02,16.37
"1416","ATMUQ",48.23,15.82
"1417","ATMUR",47.1,14.17
"1418","ATMW3",48.15,16.52
"1419","ATMZH",48.27,14.7
"1420","ATMZL",47.77,15.32
"1421","ATMZZ",47.6,15.67
"1422","ATN9F",48.57,16.85
"1423","ATNAA",48.22,14.6
"1424","ATNAD",48.05,14.85
"1425","ATNAH",47.97,13.02
"1426","ATNAL",48.02,14.78
"1427","ATNAS",47.93,16.83
"1428","ATNAT",48.35,15.7
"1429","ATNAZ",48.63,16.8
"1430","ATNBA",47.97,14.17
"1431","ATNBI",47.08,15.95
"1432","ATND2",47.93,17.07
"1433","ATNDF",48.17,15.18
"1434","ATNDL",47.37,16.03
"1435","ATNDS",46.88,10.52
"1436","ATNE2",48.73,15.88
"1437","ATNEB",48.52,15.87
"1438","ATNEC",47.6,16.55
"1439","ATNEH",48.17,15.97
"1440","ATNEI",48.23,15.55
"1441","ATNEK",48.13,14.22
"1442","ATNEL",47.78,16.3
"1443","ATNEM",48.53,13.75
"1444","ATNET",48.17,14.25
"1445","ATNEU",48.5,16.52
"1446","ATNEZ",47.17,9.68
"1447","ATNFN",48.48,13.98
"1448","ATNGG",48.48,15.88
"1449","ATNGZ",47.05,15.62
"1450","ATNHN",48.43,16.3
"1451","ATNHR",48.27,13.7
"1452","ATNID",48.55,16.4
"1453","ATNIE",48.1,13.67
"1454","ATNII",48.18,13.47
"1455","ATNIK",48.47,13.88
"1456","ATNIS",48.65,16.28
"1457","ATNIW",47.15,14.37
"1458","ATNKB",46.87,16.03
"1459","ATNKD",47.38,15.15
"1460","ATNKN",47.72,16.08
"1461","ATNLA",47.73,16.23
"1462","ATNMK",48.42,14.48
"1463","ATNMN",48.47,13.8
"1464","ATNNE",48.47,13.45
"1465","ATNNN",47.9,16.63
"1466","ATNPK",47,15.42
"1467","ATNRF",48.67,16.47
"1468","ATNRR",48.45,16.03
